
Variable,F,p_value
CG1,8.837461329423018,0.00031555954000081547
CG2,9.669900913305003,0.0001584118463927338
CG3,46.40032418721442,1.5698521801981145e-14
CG4,3.865785225877994,0.024550971095360148
CG5,1.6708416599435663,0.19393391620440603
PB1,4.814134445582471,0.010346477738443037
PB2,29.27522242119177,1.698251530325368e-10
PB3,48.724928815521466,5.103214229965987e-15
PB4,87.6042638705254,9.358824744773023e-22
PB5,289.57040706142647,1.0995860210866974e-39
Subj01,1.2133348865078175,0.30207251315086153
Subj02,0.5940501776251892,0.5542607711788178
Subj03,0.39645542092690716,0.6738823030124114
Subj04,0.8424536667350875,0.4340574279680559
Subj05,1.851102506331585,0.163059997186631
GEN_AVE,1.1699500979866586,0.3151095671298135
CG_mean,5.205223262504468,0.0072799802959347786
PB_mean,58.913325795204464,5.050867784510579e-17
